Loading raw signal from data/raw/Ninapro_DB1/s1/S1_A1_E2.mat...
Preprocessing signal (Filtering & Standardizing)...
Extracting 200ms sliding windows...
Extracting dense windows (size=20, stride=1)...
Extracting FFT Frequencies...
Extracting FFT magnitudes...
Loading Trained Models (Dictionary, Scaler, SVM)...
Extracting Sparse Dictionary Codes...
Classifying movements...

[EVALUATION RESULTS]
Overall Accuracy:       75.82%
Active Blocks Accuracy: 51.99%

=====================================================================================
 sEMG TRUE vs PREDICTED TIMELINE LOG
=====================================================================================
[000.00s - 004.13s] ✅ TRUE: Rest                         | PRED: Rest
[004.53s - 004.98s] ❌ TRUE: Thumb up                     | PRED: Extension of index and middle, flexion of others
[004.98s - 005.61s] ❌ TRUE: Thumb up                     | PRED: Little finger flexion
[005.61s - 006.92s] ✅ TRUE: Thumb up                     | PRED: Thumb up
[008.10s - 012.10s] ✅ TRUE: Rest                         | PRED: Rest
[012.10s - 012.34s] ❌ TRUE: Rest                         | PRED: Pointing index
[012.34s - 012.82s] ❌ TRUE: Thumb up                     | PRED: Pointing index
[012.82s - 013.77s] ✅ TRUE: Thumb up                     | PRED: Thumb up
[013.77s - 014.14s] ❌ TRUE: Thumb up                     | PRED: Prismatic pinch grasp
[014.14s - 014.36s] ❌ TRUE: Thumb up                     | PRED: Wrist extension with closed hand
[014.55s - 014.96s] ❌ TRUE: Thumb up                     | PRED: Cut something
[014.96s - 015.20s] ❌ TRUE: Thumb up                     | PRED: Wrist extension with closed hand
[015.20s - 015.66s] ❌ TRUE: Thumb up                     | PRED: Lateral grasp
[015.66s - 016.07s] ❌ TRUE: Thumb up                     | PRED: Pointing index
[016.18s - 020.41s] ✅ TRUE: Rest                         | PRED: Rest
[020.41s - 020.66s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[020.76s - 021.16s] ❌ TRUE: Thumb up                     | PRED: Flexion of ring and little finger, extension of others
[021.25s - 023.02s] ✅ TRUE: Thumb up                     | PRED: Thumb up
[023.02s - 023.39s] ❌ TRUE: Thumb up                     | PRED: Pointing index
[023.44s - 024.08s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[024.08s - 029.49s] ✅ TRUE: Rest                         | PRED: Rest
[029.57s - 032.46s] ✅ TRUE: Thumb up                     | PRED: Thumb up
[032.46s - 032.69s] ❌ TRUE: Thumb up                     | PRED: Little finger extension
[032.79s - 038.02s] ✅ TRUE: Rest                         | PRED: Rest
[038.08s - 038.49s] ❌ TRUE: Thumb up                     | PRED: Fingers flexed together in fist
[038.49s - 038.83s] ❌ TRUE: Thumb up                     | PRED: Little finger extension
[038.83s - 039.40s] ❌ TRUE: Thumb up                     | PRED: Cut something
[039.58s - 040.29s] ✅ TRUE: Thumb up                     | PRED: Thumb up
[040.40s - 041.06s] ❌ TRUE: Thumb up                     | PRED: Thumb abduction
